; CSV, generated by libsigrok4DSL 0.2.0 on Mon May 25 17:28:05 2026
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 100.768 M Samples
Time(s), 0, 1, 2
0,0,0,0
0.0001142,1,0,0
0.0002342,1,1,0
0.00031222,0,1,0
0.00043222,0,0,0
0.00091422,1,0,0
0.00103422,1,1,0
0.00111222,0,1,0
0.00123222,0,0,0
0.00171422,1,0,0
0.00183422,1,1,0
0.00191222,0,1,0
0.00203222,0,0,0
0.00251422,1,0,0
0.00263422,1,1,0
0.00271222,0,1,0
0.00283222,0,0,0
0.00331422,1,0,0
0.00343422,1,1,0
0.00351224,0,1,0
0.00363224,0,0,0
0.00411424,1,0,0
0.00423424,1,1,0
0.00431224,0,1,0
0.00443224,0,0,0
0.00491424,1,0,0
0.00503424,1,1,0
0.00511224,0,1,0
0.00523224,0,0,0
0.00571424,1,0,0
0.00583424,1,1,0
0.00591224,0,1,0
0.00603224,0,0,0
0.00651424,1,0,0
0.00663424,1,1,0
0.00671226,0,1,0
0.00683226,0,0,0
0.00731426,1,0,0
0.00743426,1,1,0
0.00751226,0,1,0
0.00763226,0,0,0
0.00811426,1,0,0
0.00823426,1,1,0
0.00831226,0,1,0
0.00843226,0,0,0
0.00891426,1,0,0
0.00903426,1,1,0
0.00911226,0,1,0
0.00923226,0,0,0
0.00971426,1,0,0
0.00983426,1,1,0
0.00991226,0,1,0
0.01003228,0,0,0
0.01051426,1,0,0
0.01063428,1,1,0
0.01071228,0,1,0
0.01083228,0,0,0
0.01131428,1,0,0
0.01143428,1,1,0
0.01151228,0,1,0
0.01163228,0,0,0
0.01211428,1,0,0
0.01223428,1,1,0
0.01231228,0,1,0
0.01243228,0,0,0
0.01291428,1,0,0
0.01303428,1,1,0
0.01311228,0,1,0
0.01323228,0,0,0
0.01371428,1,0,0
0.01383428,1,1,0
0.0139123,0,1,0
0.0140323,0,0,0
0.0145143,1,0,0
0.0146343,1,1,0
0.0147123,0,1,0
0.0148323,0,0,0
0.0153143,1,0,0
0.0154343,1,1,0
0.0155123,0,1,0
0.0156323,0,0,0
0.0161143,1,0,0
0.0162343,1,1,0
0.0163123,0,1,0
0.0164323,0,0,0
0.0169143,1,0,0
0.0170343,1,1,0
0.01711232,0,1,0
0.01723232,0,0,0
0.01771432,1,0,0
0.01783432,1,1,0
0.01791232,0,1,0
0.01803232,0,0,0
0.01851432,1,0,0
0.01863432,1,1,0
0.01871232,0,1,0
0.01883232,0,0,0
0.01931432,1,0,0
0.01943432,1,1,0
0.01951232,0,1,0
0.01963232,0,0,0
0.02011432,1,0,0
0.02023432,1,1,0
0.02031234,0,1,0
0.02043234,0,0,0
0.02091434,1,0,0
0.02103434,1,1,0
0.02111234,0,1,0
0.02123234,0,0,0
0.02171434,1,0,0
0.02183434,1,1,0
0.02191234,0,1,0
0.02203234,0,0,0
0.02251434,1,0,0
0.02263434,1,1,0
0.02271234,0,1,0
0.02283234,0,0,0
0.02331434,1,0,0
0.02343434,1,1,0
0.02351236,0,1,0
0.02363236,0,0,0
0.02411436,1,0,0
0.02423436,1,1,0
0.02431236,0,1,0
0.02443236,0,0,0
0.02491436,1,0,0
0.02503436,1,1,0
0.02511236,0,1,0
0.02523236,0,0,0
0.02571436,1,0,0
0.02583436,1,1,0
0.02591236,0,1,0
0.02603236,0,0,0
0.02651436,1,0,0
0.02663436,1,1,0
0.02671238,0,1,0
0.02683238,0,0,0
0.02731438,1,0,0
0.02743438,1,1,0
0.02751238,0,1,0
0.02763238,0,0,0
0.02811438,1,0,0
0.02823438,1,1,0
0.02831238,0,1,0
0.02843238,0,0,0
0.02891438,1,0,0
0.02903438,1,1,0
0.02911238,0,1,0
0.02923238,0,0,0
0.02971438,1,0,0
0.02983438,1,1,0
0.0299124,0,1,0
0.0300324,0,0,0
0.0305144,1,0,0
0.0306344,1,1,0
0.0307124,0,1,0
0.0308324,0,0,0
0.0313144,1,0,0
0.0314344,1,1,0
0.0315124,0,1,0
0.0316324,0,0,0
0.0321144,1,0,0
0.0322344,1,1,0
0.0323124,0,1,0
0.0324324,0,0,0
0.0329144,1,0,0
0.0330344,1,1,0
0.03311242,0,1,0
0.03323242,0,0,0
0.03371442,1,0,0
0.03383442,1,1,0
0.03391242,0,1,0
0.03403242,0,0,0
0.03451442,1,0,0
0.03463442,1,1,0
0.03471242,0,1,0
0.03483242,0,0,0
0.03531442,1,0,0
0.03543442,1,1,0
0.03551242,0,1,0
0.03563242,0,0,0
0.03611442,1,0,0
0.03623442,1,1,0
0.03631244,0,1,0
0.03643244,0,0,0
0.03691444,1,0,0
0.03703444,1,1,0
0.03711244,0,1,0
0.03723244,0,0,0
0.03771444,1,0,0
0.03783444,1,1,0
0.03791244,0,1,0
0.03803244,0,0,0
0.03851444,1,0,0
0.03863444,1,1,0
0.03871244,0,1,0
0.03883244,0,0,0
0.03931444,1,0,0
0.03943444,1,1,0
0.03951246,0,1,0
0.03963246,0,0,0
0.04011444,1,0,0
0.04023446,1,1,0
0.04031246,0,1,0
0.04043246,0,0,0
0.04091446,1,0,0
0.04103446,1,1,0
0.04111246,0,1,0
0.04123246,0,0,0
0.04171446,1,0,0
0.04183446,1,1,0
0.04191246,0,1,0
0.04203246,0,0,0
0.04251446,1,0,0
0.04263446,1,1,0
0.04271246,0,1,0
0.04283246,0,0,0
0.04331446,1,0,0
0.04343448,1,1,0
0.04351248,0,1,0
0.04363248,0,0,0
0.04411448,1,0,0
0.04423448,1,1,0
0.04431248,0,1,0
0.04443248,0,0,0
0.04491448,1,0,0
0.04503448,1,1,0
0.04511248,0,1,0
0.04523248,0,0,0
0.04571448,1,0,0
0.04583448,1,1,0
0.04591248,0,1,0
0.04603248,0,0,0
0.04651448,1,0,0
0.04663448,1,1,0
0.0467125,0,1,0
0.0468325,0,0,0
0.0473145,1,0,0
0.0474345,1,1,0
0.0475125,0,1,0
0.0476325,0,0,0
0.0481145,1,0,0
0.0482345,1,1,0
0.0483125,0,1,0
0.0484325,0,0,0
0.0489145,1,0,0
0.0490345,1,1,0
0.0491125,0,1,0
0.0492325,0,0,0
0.0497145,1,0,0
0.0498345,1,1,0
0.04991252,0,1,0
0.05003252,0,0,0
0.05051452,1,0,0
0.05063452,1,1,0
0.05071252,0,1,0
0.05083252,0,0,0
0.05131452,1,0,0
0.05143452,1,1,0
0.05151252,0,1,0
0.05163252,0,0,0
0.05211452,1,0,0
0.05223452,1,1,0
0.05231252,0,1,0
0.05243252,0,0,0
0.05291452,1,0,0
0.05303452,1,1,0
0.05311254,0,1,0
0.05323254,0,0,0
0.05371454,1,0,0
0.05383454,1,1,0
0.05391254,0,1,0
0.05403254,0,0,0
0.05451454,1,0,0
0.05463454,1,1,0
0.05471254,0,1,0
0.05483254,0,0,0
0.05531454,1,0,0
0.05543454,1,1,0
0.05551254,0,1,0
0.05563254,0,0,0
0.05610454,1,0,0
0.05624454,1,1,0
0.05630256,0,1,0
0.05644256,0,0,0
0.05690456,1,0,0
0.05704456,1,1,0
0.05710256,0,1,0
0.05724256,0,0,0
0.05770456,1,0,0
0.05784456,1,1,0
0.05790256,0,1,0
0.05804256,0,0,0
0.05850456,1,0,0
0.05864456,1,1,0
0.05870256,0,1,0
0.05884256,0,0,0
0.05930456,1,0,0
0.05944456,1,1,0
0.05950258,0,1,0
0.05964258,0,0,0
0.06010458,1,0,0
0.06024458,1,1,0
0.06030258,0,1,0
0.06044258,0,0,0
0.06090458,1,0,0
0.06104458,1,1,0
0.06110258,0,1,0
0.06124258,0,0,0
0.06170458,1,0,0
0.06184458,1,1,0
0.06190258,0,1,0
0.06204258,0,0,0
0.06250458,1,0,0
0.06264458,1,1,0
0.0627026,0,1,0
0.0628426,0,0,0
0.0633046,1,0,0
0.0634446,1,1,0
0.0635026,0,1,0
0.0636426,0,0,0
0.0641046,1,0,0
0.0642446,1,1,0
0.0643026,0,1,0
0.0644426,0,0,0
0.0649046,1,0,0
0.0650446,1,1,0
0.0651026,0,1,0
0.0652426,0,0,0
0.0657046,1,0,0
0.0658446,1,1,0
0.06590262,0,1,0
0.06604262,0,0,0
0.06650462,1,0,0
0.06664462,1,1,0
0.06670262,0,1,0
0.06684262,0,0,0
0.06730462,1,0,0
0.06744462,1,1,0
0.06750262,0,1,0
0.06764262,0,0,0
0.06810462,1,0,0
0.06824462,1,1,0
0.06830262,0,1,0
0.06844262,0,0,0
0.06890462,1,0,0
0.06904462,1,1,0
0.06910264,0,1,0
0.06924264,0,0,0
0.06970464,1,0,0
0.06984464,1,1,0
0.06990264,0,1,0
0.07004264,0,0,0
0.07050464,1,0,0
0.07064464,1,1,0
0.07070264,0,1,0
0.07084264,0,0,0
0.07130464,1,0,0
0.07144464,1,1,0
0.07150264,0,1,0
0.07164264,0,0,0
0.07210464,1,0,0
0.07224464,1,1,0
0.07230264,0,1,0
0.07244266,0,0,0
0.07290464,1,0,0
0.07304466,1,1,0
0.07310266,0,1,0
0.07324266,0,0,0
0.07370466,1,0,0
0.07384466,1,1,0
0.07390266,0,1,0
0.07404266,0,0,0
0.07450466,1,0,0
0.07464466,1,1,0
0.07470266,0,1,0
0.07484266,0,0,0
0.07530466,1,0,0
0.07544466,1,1,0
0.07550266,0,1,0
0.07564266,0,0,0
0.07610466,1,0,0
0.07624466,1,1,0
0.07630268,0,1,0
0.07644268,0,0,0
0.07690468,1,0,0
0.07704468,1,1,0
0.07710268,0,1,0
0.07724268,0,0,0
0.07770468,1,0,0
0.07784468,1,1,0
0.07790268,0,1,0
0.07804268,0,0,0
0.07850468,1,0,0
0.07864468,1,1,0
0.07870268,0,1,0
0.07884268,0,0,0
0.07930468,1,0,0
0.07944468,1,1,0
0.0795027,0,1,0
0.0796427,0,0,0
0.0801047,1,0,0
0.0802447,1,1,0
0.0803027,0,1,0
0.0804427,0,0,0
0.0809047,1,0,0
0.0810447,1,1,0
0.0811027,0,1,0
0.0812427,0,0,0
0.0817047,1,0,0
0.0818447,1,1,0
0.0819027,0,1,0
0.0820427,0,0,0
0.0825047,1,0,0
0.0826447,1,1,0
0.08270272,0,1,0
0.08284272,0,0,0
0.08330472,1,0,0
0.08344472,1,1,0
0.08350272,0,1,0
0.08364272,0,0,0
0.08410472,1,0,0
0.08424472,1,1,0
0.08430272,0,1,0
0.08444272,0,0,0
0.08490472,1,0,0
0.08504472,1,1,0
0.08510272,0,1,0
0.08524272,0,0,0
0.08570472,1,0,0
0.08584472,1,1,0
0.08590274,0,1,0
0.08604274,0,0,0
0.08650474,1,0,0
0.08664474,1,1,0
0.08670274,0,1,0
0.08684274,0,0,0
0.08730474,1,0,0
0.08744474,1,1,0
0.08750274,0,1,0
0.08764274,0,0,0
0.08810474,1,0,0
0.08824474,1,1,0
0.08830274,0,1,0
0.08844274,0,0,0
0.08890474,1,0,0
0.08904474,1,1,0
0.08910276,0,1,0
0.08924276,0,0,0
0.08970476,1,0,0
0.08984476,1,1,0
0.08990276,0,1,0
0.09004276,0,0,0
0.09050476,1,0,0
0.09064476,1,1,0
0.09070276,0,1,0
0.09084276,0,0,0
0.09130476,1,0,0
0.09144476,1,1,0
0.09150276,0,1,0
0.09164276,0,0,0
0.09210476,1,0,0
0.09224476,1,1,0
0.09230278,0,1,0
0.09244278,0,0,0
0.09290478,1,0,0
0.09304478,1,1,0
0.09310278,0,1,0
0.09324278,0,0,0
0.09370478,1,0,0
0.09384478,1,1,0
0.09390278,0,1,0
0.09404278,0,0,0
0.09450478,1,0,0
0.09464478,1,1,0
0.09470278,0,1,0
0.09484278,0,0,0
0.09530478,1,0,0
0.09544478,1,1,0
0.0955028,0,1,0
0.0956428,0,0,0
0.0961048,1,0,0
0.0962448,1,1,0
0.0963028,0,1,0
0.0964428,0,0,0
0.0969048,1,0,0
0.0970448,1,1,0
0.0971028,0,1,0
0.0972428,0,0,0
0.0977048,1,0,0
0.0978448,1,1,0
0.0979028,0,1,0
0.0980428,0,0,0
0.0985048,1,0,0
0.0986448,1,1,0
0.09870282,0,1,0
0.09884282,0,0,0
0.09930482,1,0,0
0.09944482,1,1,0
0.09950282,0,1,0
0.09964282,0,0,0
0.10010482,1,0,0
0.10024482,1,1,0
0.10030282,0,1,0
0.10044282,0,0,0
0.10090482,1,0,0
0.10104482,1,1,0
0.10110282,0,1,0
0.10124282,0,0,0
0.10170482,1,0,0
0.10184482,1,1,0
0.10190282,0,1,0
0.10204284,0,0,0
0.10250482,1,0,0
0.10264484,1,1,0
0.10270284,0,1,0
0.10284284,0,0,0
0.10330484,1,0,0
0.10344484,1,1,0
0.10350284,0,1,0
0.10364284,0,0,0
0.10410484,1,0,0
0.10424484,1,1,0
0.10430284,0,1,0
0.10444284,0,0,0
0.10490484,1,0,0
0.10504484,1,1,0
0.10510284,0,1,0
0.10524284,0,0,0
0.10570484,1,0,0
0.10584484,1,1,0
0.10590286,0,1,0
0.10604286,0,0,0
0.10650486,1,0,0
0.10664486,1,1,0
0.10670286,0,1,0
0.10684286,0,0,0
0.10730486,1,0,0
0.10744486,1,1,0
0.10750286,0,1,0
0.10764286,0,0,0
0.10810486,1,0,0
0.10824486,1,1,0
0.10830286,0,1,0
0.10844286,0,0,0
0.10890486,1,0,0
0.10904486,1,1,0
0.10910288,0,1,0
0.10924288,0,0,0
0.10970488,1,0,0
0.10984488,1,1,0
0.10990288,0,1,0
0.11004288,0,0,0
0.11050488,1,0,0
0.11064488,1,1,0
0.11070288,0,1,0
0.11084288,0,0,0
0.11130488,1,0,0
0.11144488,1,1,0
0.11150288,0,1,0
0.11164288,0,0,0
0.11210488,1,0,0
0.11224488,1,1,0
0.1123029,0,1,0
0.1124429,0,0,0
0.1129049,1,0,0
0.1130449,1,1,0
0.1131029,0,1,0
0.1132429,0,0,0
0.1137049,1,0,0
0.1138449,1,1,0
0.1139029,0,1,0
0.1140429,0,0,0
0.1145049,1,0,0
0.1146449,1,1,0
0.1147029,0,1,0
0.1148429,0,0,0
0.1153049,1,0,0
0.1154449,1,1,0
0.11550292,0,1,0
0.11564292,0,0,0
0.11610492,1,0,0
0.11624492,1,1,0
0.11630292,0,1,0
0.11644292,0,0,0
0.11690492,1,0,0
0.11704492,1,1,0
0.11710292,0,1,0
0.11724292,0,0,0
0.11770492,1,0,0
0.11784492,1,1,0
0.11790292,0,1,0
0.11804292,0,0,0
0.11850492,1,0,0
0.11864492,1,1,0
0.11870294,0,1,0
0.11884294,0,0,0
0.11930494,1,0,0
0.11944494,1,1,0
0.11950294,0,1,0
0.11964294,0,0,0
0.12010494,1,0,0
0.12024494,1,1,0
0.12030294,0,1,0
0.12044294,0,0,0
0.12090494,1,0,0
0.12104494,1,1,0
0.12110294,0,1,0
0.12124294,0,0,0
0.12170494,1,0,0
0.12184494,1,1,0
0.12190296,0,1,0
0.12204296,0,0,0
0.12250496,1,0,0
0.12264496,1,1,0
0.12270296,0,1,0
0.12284296,0,0,0
0.12330496,1,0,0
0.12344496,1,1,0
0.12350296,0,1,0
0.12364296,0,0,0
0.12410496,1,0,0
0.12424496,1,1,0
0.12430296,0,1,0
0.12444296,0,0,0
0.12490496,1,0,0
0.12504496,1,1,0
0.12510298,0,1,0
0.12524298,0,0,0
0.12570498,1,0,0
0.12584498,1,1,0
0.12590298,0,1,0
0.12604298,0,0,0
0.12650498,1,0,0
0.12664498,1,1,0
0.12670298,0,1,0
0.12684298,0,0,0
0.12730498,1,0,0
0.12744498,1,1,0
0.12750298,0,1,0
0.12764298,0,0,0
0.12810498,1,0,0
0.12824498,1,1,0
0.128303,0,1,0
0.128443,0,0,0
0.128905,1,0,0
0.129045,1,1,0
0.129103,0,1,0
0.129243,0,0,0
0.129705,1,0,0
0.129845,1,1,0
0.129903,0,1,0
0.130043,0,0,0
0.130505,1,0,0
0.130645,1,1,0
0.130703,0,1,0
0.130843,0,0,0
0.131295,1,0,0
0.131455,1,1,0
0.131493,0,1,0
0.13165302,0,0,0
0.132095,1,0,0
0.13225502,1,1,0
0.13229302,0,1,0
0.13245302,0,0,0
0.13289502,1,0,0
0.13305502,1,1,0
0.13309302,0,1,0
0.13325302,0,0,0
0.13369502,1,0,0
0.13385502,1,1,0
0.13389302,0,1,0
0.13405302,0,0,0
0.13449502,1,0,0
0.13465502,1,1,0
0.13469302,0,1,0
0.13485302,0,0,0
0.13529502,1,0,0
0.13545504,1,1,0
0.13549304,0,1,0
0.13565304,0,0,0
0.13609504,1,0,0
0.13625504,1,1,0
0.13629304,0,1,0
0.13645304,0,0,0
0.13689504,1,0,0
0.13705504,1,1,0
0.13709304,0,1,0
0.13725304,0,0,0
0.13769504,1,0,0
0.13785504,1,1,0
0.13789304,0,1,0
0.13805304,0,0,0
0.13849504,1,0,0
0.13865504,1,1,0
0.13869306,0,1,0
0.13885306,0,0,0
0.13929506,1,0,0
0.13945506,1,1,0
0.13949306,0,1,0
0.13965306,0,0,0
0.14009506,1,0,0
0.14025506,1,1,0
0.14029306,0,1,0
0.14045306,0,0,0
0.14089506,1,0,0
0.14105506,1,1,0
0.14109306,0,1,0
0.14125306,0,0,0
0.14169506,1,0,0
0.14185506,1,1,0
0.14189308,0,1,0
0.14205308,0,0,0
0.14249508,1,0,0
0.14265508,1,1,0
0.14269308,0,1,0
0.14285308,0,0,0
0.14329508,1,0,0
0.14345508,1,1,0
0.14349308,0,1,0
0.14365308,0,0,0
0.14409508,1,0,0
0.14425508,1,1,0
0.14429308,0,1,0
0.14445308,0,0,0
0.14489508,1,0,0
0.14505508,1,1,0
0.1450931,0,1,0
0.1452531,0,0,0
0.1456951,1,0,0
0.1458551,1,1,0
0.1458931,0,1,0
0.1460531,0,0,0
0.1464951,1,0,0
0.1466551,1,1,0
0.1466931,0,1,0
0.1468531,0,0,0
0.1472951,1,0,0
0.1474551,1,1,0
0.1474931,0,1,0
0.1476531,0,0,0
0.1480951,1,0,0
0.1482551,1,1,0
0.14829312,0,1,0
0.14845312,0,0,0
0.14889512,1,0,0
0.14905512,1,1,0
0.14909312,0,1,0
0.14925312,0,0,0
0.14969512,1,0,0
0.14985512,1,1,0
0.14989312,0,1,0
0.15005312,0,0,0
0.15049512,1,0,0
0.15065512,1,1,0
0.15069312,0,1,0
0.15085312,0,0,0
0.15129512,1,0,0
0.15145512,1,1,0
0.15149314,0,1,0
0.15165314,0,0,0
0.15209514,1,0,0
0.15225514,1,1,0
